Title,Year,Languages,Rating
@h@)!LRvwietJNaiKMp@otDjPA%RYkAhM80nd&Vs,1904,[Welsh;French;Japanese],8
F1B2mMG!c0xX^JNsrG9T@4(Nhy^$4&RcK@KD9#x*LX2&G,1965,[Japanese;Hindi;Welsh],5.9
qdn%4SEGHU,1990,[Turkish;Polish;Hindi;English],6.3
#dZtj7,1911,[Swahili],2.2
fHXOw#KFsN%aIDIsYVJpZhk0QgayJ3Ka4aUxN6BpMSN,1921,[Korean;Arabic;Chinese - S],10
ezgWsLN2GQ$z9a#,2020,[Russian],8.5
Outv(@*2XCNJ%d*h3ryodr(fs$qdmrPiOAW,1976,[Polish;Japanese;Chinese - S],7.9
EawzA$B0oO9BdomKp^6gBdTTN7dseW13KHsB*q2i&uvQAJcSmz,1958,[Chinese - S;Spanish],6
ZjI#q)3^!XV$0*eCH7RMvtLuAhsrN70K0X4&tL,1943,[English],2.4
YE3L6nAHj7fI!lkZgyk@^,1973,[Japanese;Welsh;Spanish;French;Dutch],6.1
mriiCQx&7kkDGEMakYlIQs!m$YxtWhqsvl,2003,[Hindi;Dutch;Czech;Turkish;Polish],10
6qhd31vehHanTF6NVQX9(wN7yW(b6uoxtdxJ&arDO*tq,1941,[German;Japanese;Czech;Spanish;Swahili],4.8
!uqkA8wMOQTgULqUEaNqh$VSGuv5!AFP^npXhwo7xDYqsjWm,2005,[Russian;Turkish],9.2
#IWU(XbL7Ny#%0q@DBudv7NRHicD3M,2009,[Arabic;Japanese;Spanish;Turkish;German],3.9
35$fj3zR0*ljIyBv,1934,[Japanese;French;Chinese - S],5.7
89QR@#rjMMFFxPRIF@bSO4iL*A1cupv6W,1909,[Czech],9
N,1928,[Dutch;English;Hindi;Welsh;Czech],7.1
XOleDenMNpwtLyDjpMN6HHoSsfPdHAX)ITlo7qY^pY1W,1909,[French;Chinese - T],6.5
cAPPZ0XpTT%J7)fRldTh,1923,[Arabic;French;Korean],5.8
BRBG3*Geomc@8SOwj#1r@PAMxrJwU*&aQ,1978,[Welsh;Hindi;Arabic],2
$3@,2019,[Chinese - S],9.9
iITP%)EmDiP@JA#MyTI6Td4Q%jEdZ7tuUS5$xg$V,1936,[Chinese - T;Turkish;Welsh;Korean],10
7Gpo9cao(iolNahj,1942,[Japanese;Polish;Swahili],4.9
W(PbhwAua3kU5O,2011,[Looooooooooooooooong;Arabic;Swahili;Turkish;French],7.5
pQWAXVttjTfkdO1Z(9ETNzQ97T%%,1975,[Russian;Czech],2.5
jPmntTWbBDLAShMO#FMgSjiRVaqwyt,1958,[Russian],6
(Dk@z$y28RU&)vcfr1HYG8UmZ(vXEMTBg2,1984,[Dutch;Welsh;Hindi;Spanish;Polish],2.3
yuo7E7TKI#5XMFl&4Fb9Ozk!dpN%3ke(rPcBsBoG1fN3tD&Hg),1941,[Czech;German;Dutch;Swahili],9.5
J2$pSGdrZC*c&K,1954,[Chinese - T;Spanish],4.3
)jaiIR3a2eXfL!PXLbmlB,1990,[Hindi],4.6
6Vb*MSO%GhWqx#l^dlDK4,1946,[Looooooooooooooooong;Welsh;Chinese - T],9.1
1kAxdqZjKqj1TAX,1985,[Hindi;Dutch],8.3
bdWl6nra(Jnk66,1904,[English;Arabic;Welsh;Japanese;Looooooooooooooooong],6.7
mEU1OI6uRLaVG$lIgpcmv&iNH(s*#KeYZI^SrXB,1928,[Spanish;Chinese - S;Korean;Swahili],9
zzlz8sFt*bXB,1976,[Polish;Looooooooooooooooong],2.6
#^acGIWEZApA*pWILMiz0vFXTGs6iuqGKBYh2t,1916,[German;Korean;French;Chinese - T],8.8
cWCR26JS@XK0E,1941,[Turkish;Spanish;Polish;Russian;German],1.4
EM5Ke8ssv4tzyWXOF#vVPT$ZLa,1992,[Polish;Chinese - T;Russian;Dutch;Korean],9
On(S!@DkQlWTJ^PLk%e3sHMj5,1936,[French;Looooooooooooooooong],6.2
sFyS%wS@kFR,1993,[German;Arabic;Russian;Dutch],10
v$VA726XJyyNSZS$WRaZbc,1986,[Turkish],5.4
4RC5SNujv&@u&mzIl8CelJ,1981,[Hindi;Spanish;Welsh;Chinese - T;German],4.3
TCjG2U,1942,[English;Polish;Hindi;Russian],7.3
recUJ,1964,[Russian],2.9
bybH%SkN&0)382P5s0Hqx),1936,[Arabic;Hindi],7.5
AE6Q$#OFtZVcYTxytQ4r7uqe*l0Q!hZY@1mcMYVAn*!#zfCjl0,2007,[Looooooooooooooooong],4
O#iFxe@i59gX5SuUnLiO6Z5azQ,1926,[Chinese - T;Looooooooooooooooong;Swahili],8.8
w7yTdSfnExs8iXDE3e1X!hQ3L,1987,[Swahili],8.9
j(94ejz1Z7,1907,[Turkish;Polish;English;Japanese],8.7
54Hgsw65JZbrkq6Cw!*BxG,2002,[Swahili;Arabic;English],5.2
*Ac#KS@$0PILbZLCm5VeXWLBpUiflZv7fi,1979,[Czech;Arabic],9.1
aHc2NGU#V,1982,[Chinese - T;Welsh;Polish;Russian],6.7
qEe0@^UeIVoeRF9KTp,1954,[Russian],3.3
G)IZEKGEt3gTDi8Y9T9x(egY#T*,1974,[English;Russian;Welsh;German;Chinese - T],5.9
KjIZK@wFgBw7b^EeO8dC27)l^l,1933,[English;Turkish],1.6
o)wUAJIuRXX@u#Mjq6zu!@i*%6hdDQAwQ&BldEjom#L(OQg(OH,1902,[Turkish;Spanish;Chinese - S],1.6
f(fk1ZSpFJNc^55ODa,1979,[Chinese - T;Czech;French],10
^XC#RgMfn2TAyodT9LIK*gvGh85PahvS#A%3qz7,1988,[Chinese - T;Dutch;Turkish;Looooooooooooooooong],7
78eUUUGLG0&I0ji#pY7EM3SizB),2006,[Dutch],3.9
DFh7X^RVb&nih$lhDV$853*R$Bk@TBG$USu4fR6LDgCST0ap,1961,[Arabic;Czech;Hindi;Turkish],2.4
#6xL81GfH!gY*frrevgOR3XgEe5ooTEg$esKrgdzIkWd!MJ,1911,[Hindi;Spanish],9.9
NO2GXYE0cPVv^,1932,[Czech],3.7
szSBwTv^OkIR!(W%t$PSp(gn1jki1VgtTilqNLVKi,1962,[German],2.4
JN6Roxzki(4f9qqxr(g,1978,[English;Swahili;Welsh;Spanish],10
%KgbCtJRV,1958,[Arabic;Welsh;Chinese - S;French],7.6
),1908,[Looooooooooooooooong;Chinese - S;Chinese - T;Hindi;Japanese],3.4
RMxQ$L@X29Ti%(M5Pn(9WxkKsi$JVwaj82hUkQEOuxPRzHpTbP,1975,[Czech;Spanish;Chinese - S;French;Welsh],10
z%&0Wgeab,1906,[Swahili;Czech;Chinese - T],5.2
aZe(!ULc)@uy6Uhv9Id6l9yhsU@TgKiJ3!,1988,[Chinese - S;Chinese - T;Hindi;Turkish],1.3
znbAP)OXO4&QeE7lr$p^jL)IxEbrcP6e1&5I,1996,[Looooooooooooooooong],9.8
tD(93,1981,[Spanish;Turkish],4.2
)TuQO*5,1945,[Chinese - T],10
PJ@MGf^*J^&K9bHNziJJC2r2)7gr8oTzTX&)K1yDBb(t5,1959,[Russian;Polish;Looooooooooooooooong;Chinese - S],2.6
NV!UPSlz!^1,1964,[English;Welsh],7.6
TBi(s!nngDWu6CmzdTa#72wV24#ATCdShQ3*BL&4pM,2012,[Russian;Korean;Welsh;Japanese],8.7
M)Q$s4623zMaz2fgfvEEJ&Yj,1943,[Arabic;Looooooooooooooooong;Hindi;Spanish],2.7
f4g%9Hoo^mFybPCmn&#ugH2oMG0n&1o0OiA61U,1917,[Czech;Arabic;Dutch;Turkish;Spanish],1.9
btA,1958,[Chinese - T;Russian;French],5.7
SDBgN)ng*rIsD7KP4%pAIgdDhXJ,1928,[Chinese - T;Japanese;Czech;Swahili;Chinese - S],9.7
CM(vb8YssnSjxwG,1937,[German;Dutch;Welsh],8.8
a,2020,[English;Polish;Hindi;French;Looooooooooooooooong],7
hE)K8bo^VXdZ0cMTKKwn@(3u!XAQuKk$A*LqUVe1FRGwwWesoD,2021,[Swahili;Arabic;Polish;Dutch],3.5
PzI6K6z13k,1978,[Arabic],3.6
Q@2^8xIX4kbRHCuwUCHflGftV)iZ@,1951,[Chinese - T;Korean],8.8
LVULSj6n0e,1937,[Hindi;Korean;Spanish],9.8
uR*oHs#&8qqv4,1962,[Chinese - T;Welsh;German;Korean;Chinese - S],6.1
TOA7ssCs2EC4Mn#mRB$kcdrONbZ2zKm&o8krXEigkmRYT,2019,[Spanish;Hindi],1.5
u6VESykfgV$Ox,1947,[Hindi],1.4
trhX3)xdOde4&Onne1S#RGnz#cP,1942,[Chinese - S],10
1EQrh4Xm*JL#Rq8Sb2Ei2uY^hoP(XVMCsxH%*^#$VQQ8,1939,[Swahili],3.3
459uBV5!ydnPW4MpNI(CpIjn*7d&m$H0Wp$3qv,1944,[Japanese;Korean;Spanish;English;Polish],5.7
JAo6^LhIc)2)Q1CD%l8jMK@b$z2c*C&kv,1935,[French;Russian;Spanish;Swahili],6.3
G),1924,[Polish;Dutch;Spanish],6.4
e^BUgi@CdBnqLhqER,1923,[Swahili;German;Arabic;Japanese;Chinese - T],2.6
EB,1963,[English;Korean;Hindi;Polish;German],6.7
jtIZ62FH)2yHxfM2Wx5*k6bfTe$f%@xp7TxDE*PhVe&,1917,[Chinese - S;Hindi;Czech],8.5
HTKs$$Y,1991,[Arabic;Turkish;Polish],8.2
%zumqC89mDv15FZWace499)m&tO%#VOEmjxG%f^Mc(Qi!hY5,1984,[Korean;Swahili;French;Polish],9.8
y@SZFhcO!a%V6L!GH(!SWvEjxLHPf1GFplw^@vL8CE,1929,[Japanese;Arabic;Looooooooooooooooong],7.9
E@k!jD4Kd,1913,[Japanese],8.9
9EksCc9b!n&jn1Z*@l6NZQ14UaPwNhkFeFs6*q,1955,[German;Polish],8.9
kyTAx$n7fJk&WHl5cv779izTaR6%oz,1954,[Chinese - S;Spanish;German],2.5
X(Ptre4b,1969,[French;Dutch;Polish],2.7
wdCy5&VBv3jiCWAhsaLMvkA*pDR4@jMyfXTZS8G23Ev,1986,[Japanese;Dutch;Looooooooooooooooong;German;French],7.8
V@^YT#P2b*eu4N,1956,[Arabic;Chinese - T;Korean;English],4.4
b)J0d80Suy2gf@QCGfR5P5z8%x3^qGAY0K62Fx*q%(YH,1910,[Swahili;Chinese - T],5
EF2CXE,2014,[French;Polish;Dutch],6
NZo3BusbwaxQD^9nduhTs26hddtEOR,1927,[Swahili;French;Hindi;Dutch;Korean],7.3
v8YGX$kLs9WqlRaZA#(b%Z,1982,[English;Polish],2.6
WxWZ$zJH8AYhQcDGdHTq91hqXdikh2lu98gUa0^&Xa8fc6o$^,1961,[Welsh;Japanese],2.9
5e^656$qvfDey2UML39qIF58Zl,2016,[Dutch;Chinese - S],3.6
BG6Yu8CHA%4s(yyu3D^MV(ml2BC(qGHUYPo%cTC0p7ia,1959,[Dutch;Czech;Welsh],4
cMm,1983,[English;Welsh;German;Polish],2.6
%vIlXSEx1IfnphW2ZChse7l4Cuw8ck)v,1911,[Hindi;Welsh;Japanese;Korean],2.8
nw7F(7n0h6,1994,[English;Hindi;Dutch],6.6
l9vFZmCC,1918,[English;Hindi;Korean;Dutch;Russian],7.2
dy9W3MmXXq7%zAEh,2005,[Arabic;Japanese;Swahili;English],9.8
bDbvqfTlMst1Nk(RF3xKwy22KO^N6T,1980,[Dutch],6.1
VthH9rt)zRKaqfvxp1h4I2dHYO,1928,[Spanish;German;Looooooooooooooooong],7.3
jn^mGtvnYbKVGIikvqdKHVzWp*NgLauHxUSWL!y2eMm01,2015,[Looooooooooooooooong;French;Dutch;Polish;Welsh],2.6
X3DyVIHbUHgndY!fxHSeWqF1NP@,1999,[Czech;English;Swahili;Chinese - T;Chinese - S],5.5
GhC#hs1BBXjROB&gfbU7*Dk(J0!Lq5X^gHUK,1911,[Welsh;Chinese - S;Russian;Looooooooooooooooong],2.4
UW(znfVMA6QiW#Ucyggn,1943,[Japanese;Chinese - T;Looooooooooooooooong;Czech;Hindi],8.4
5Q$oDUNA6ZQJYWMxX4vMOaKDq#2kgPIa$^ARC47Pnz,1987,[Chinese - T;English;Czech;French;Hindi],10
@LEiW,1909,[Dutch;Arabic;Chinese - S;French],9.1
AuiNXM&x%b$S77Pg#$)^,1951,[English],1.2
FRLEw4mFpBz557wdqz8vMPfSu*^HEL96bNyNZWQyPx*,2014,[Dutch],8
hMRijt%zvTy%HIkn,1942,[Japanese;German],6.8
FmW,1961,[Looooooooooooooooong;Russian;German;French],2.5
kvgGDj&A!B#xfrBeI#PfZH$AeX58EBP2sxcCTMmSi6MiI2xgOf,1960,[Turkish;Japanese],3.1
NXPth#3(qc8Q,2017,[Korean;Dutch],5.7
0^4HOOBrlZg5K0ssV&IU%rsV$FQfuWw3VXI8YH4,1930,[Russian;Korean],7.3
M96tXGZyK$W#uuhGlOXWeAk%do%0@Monk,1913,[German;Russian],6.6
x)JjEZj)3QebB*x4Ftzfs3ya0s3u2&KBf,1952,[Russian;Hindi;Czech],8.7
mvTMB%Tct&1jtvGY&oi1)pc#zYRx7HMp5agEEbs9ayK0sSptsy,1913,[Swahili;Polish],8.1
Z0i!gu9,1977,[German;Japanese],8.1
tihOxN9HmO!m$knJ6q,1907,[Polish;English;Chinese - T],3.6
6VP^Q)nT8$Dm(V)sB1$WWc$GtkDz,1916,[Russian;Hindi;Dutch],6.7
RLppFYdJN,1973,[Polish;Hindi],4
y(dgNAQ4JAZPifb,1945,[Chinese - T;Czech],2.9
)Kio)pPjYPy9VN63oE)l4&vt,2014,[Swahili;Welsh],10
ATyAqftZqpAjunSfFTj$inbPpoUNC4sg#D,2005,[Japanese;Korean;Spanish;Chinese - T],1
%ienxEHlt0XLKJ,1954,[French;Chinese - S;Welsh],1
$PG#XOFf*hA9xGuj2w!#BcJRxIdwmmbDP75dFoHA*4,1932,[Russian],9.5
Kf4aPMZPt(G1QivByD9uKQXNa,1949,[Dutch;Czech],3.2
pAi(1TAfq1@Hoa%yRG8P%XE%5a4,1906,[English;French;Chinese - S;German],2.4
